PLAYER,POSITION,TEAM,POINTS_DK,SALARY_DK
Patrick Mahomes,QB,KC,23.83,8100
Russell Wilson,QB,SEA,23.45,7900
Derrick Henry,RB,TEN,27.22,8700
Aaron Rodgers,QB,GB,22.34,7500
Deshaun Watson,QB,HOU,22.75,7600
Josh Allen,QB,BUF,22.72,7100
Kyler Murray,QB,ARI,22.26,7200
Lamar Jackson,QB,BAL,21.3,7000
Tom Brady,QB,TB,20.24,6900
Justin Herbert,QB,LAC,19.79,6800
Ryan Tannehill,QB,TEN,19.13,6700
Matthew Stafford,QB,DET,18.38,5700
Teddy Bridgewater,QB,CAR,18.4,5800
Dalvin Cook,RB,MIN,21.44,9400
Derek Carr,QB,LV,18.35,6000
Taysom Hill,QB,NO,18.52,6600
Jared Goff,QB,LA,18.38,6200
Ben Roethlisberger,QB,PIT,18.02,6700
Philip Rivers,QB,IND,17.88,5900
Aaron Jones,RB,GB,20.07,7600
Mitchell Trubisky,QB,CHI,17.59,5600
Matt Ryan,QB,ATL,17.2,5700
Cam Newton,QB,NE,17.48,5900
Kirk Cousins,QB,MIN,17.08,6200
Tua Tagovailoa,QB,MIA,16.57,5400
Daniel Jones,QB,NYG,16.91,5500
Andy Dalton,QB,DAL,16.66,5500
Brandon Allen,QB,CIN,16.56,4900
Mike Glennon,QB,JAC,16.7,5100
James Robinson,RB,JAC,18.97,7500
Nick Mullens,QB,SF,15.99,5100
Alex Smith,QB,WSH,15.45,5200
Baker Mayfield,QB,CLE,15.58,5700
Davante Adams,WR,GB,22.18,9300
Jalen Hurts,QB,PHI,15.7,5100
Drew Lock,QB,DEN,15.29,5100
Mike Davis,RB,CAR,18.44,6400
Alvin Kamara,RB,NO,18.19,7100
Austin Ekeler,RB,LAC,18.59,7000
Tyreek Hill,WR,KC,19.29,8500
Chris Carson,RB,SEA,16.44,6900
Myles Gaskin,RB,MIA,16.48,5600
Ezekiel Elliott,RB,DAL,15.91,6600
Raheem Mostert,RB,SF,15.09,6200
James Conner,RB,PIT,15.28,6300
Nick Chubb,RB,CLE,13.59,7600
David Montgomery,RB,CHI,15,6500
Sam Darnold,QB,NYJ,13.28,5100
Ronald Jones,RB,TB,13.67,6100
Calvin Ridley,WR,ATL,17.92,7500
D.K. Metcalf,WR,SEA,17.11,8400
Kenyan Drake,RB,ARI,13.39,5500
DeAndre Hopkins,WR,ARI,18.25,7600
Wayne Gallman,RB,NYG,13.18,5700
Stefon Diggs,WR,BUF,17.98,7800
Travis Kelce,TE,KC,17.37,7400
Todd Gurley,RB,ATL,12.38,4800
Adam Thielen,WR,MIN,17.04,7000
A.J. Brown,WR,TEN,16.1,7300
Terry McLaurin,WR,WSH,16.96,6700
Justin Jefferson,WR,MIN,16.22,7400
Giovani Bernard,RB,CIN,13.61,5000
Melvin Gordon,RB,DEN,12.31,5200
Robby Anderson,WR,CAR,16.02,6200
Duke Johnson,RB,HOU,13.89,4800
Tyler Lockett,WR,SEA,15.95,7200
Keenan Allen,WR,LAC,16.6,7700
Brandin Cooks,WR,HOU,14.88,6100
Jonathan Taylor,RB,IND,11.89,5800
Marvin Jones,WR,DET,15.08,5800
Allen Robinson,WR,CHI,15.86,6800
Cam Akers,RB,LA,10.08,5100
Miles Sanders,RB,PHI,11.59,6200
Clyde Edwards-Helaire,RB,KC,11.69,5900
Chris Godwin,WR,TB,14.57,6300
Darren Waller,TE,LV,15.4,6800
Robert Woods,WR,LA,14.96,6700
Deebo Samuel,WR,SF,14,6400
Diontae Johnson,WR,PIT,15.05,6700
Curtis Samuel,WR,CAR,13.4,5200
Cooper Kupp,WR,LA,14.73,6500
Tee Higgins,WR,CIN,13.69,4800
Brandon Aiyuk,WR,SF,13.64,5400
Michael Thomas,WR,NO,14.9,7100
Cole Beasley,WR,BUF,13.87,5000
Kareem Hunt,RB,CLE,11.25,5000
D'Andre Swift,RB,DET,11.05,6500
Jarvis Landry,WR,CLE,13.95,6300
Corey Davis,WR,TEN,13.48,5700
Nyheim Hines,RB,IND,11.9,5200
DeVante Parker,WR,MIA,13.3,6100
Keke Coutee,WR,HOU,13.02,5000
Mike Evans,WR,TB,12.47,6600
D.J. Chark,WR,JAC,13.38,5300
Mark Andrews,TE,BAL,12.5,5300
Antonio Brown,WR,TB,12.47,5500
Peyton Barber,RB,WSH,9.03,4400
Damien Harris,RB,NE,8.62,5300
Phillip Lindsay,RB,DEN,9.22,4300
J.K. Dobbins,RB,BAL,9.7,5800
Jamaal Williams,RB,GB,9.9,6000
J.D. McKissic,RB,WSH,11.9,4900
Frank Gore,RB,NYJ,8.61,4000
Tyler Boyd,WR,CIN,12.46,4900
Amari Cooper,WR,DAL,12.37,6500
T.Y. Hilton,WR,IND,11.69,5100
T.J. Hockenson,TE,DET,11.81,5000
JuJu Smith-Schuster,WR,PIT,12.68,6100
Nelson Agholor,WR,LV,11.35,4700
Mike Williams,WR,LAC,10.53,4700
Chase Claypool,WR,PIT,11.07,6500
Leonard Fournette,RB,TB,9.79,4500
Jerry Jeudy,WR,DEN,11.3,4700
Marquise Brown,WR,BAL,10.87,5400
Evan Engram,TE,NYG,11.48,4300
CeeDee Lamb,WR,DAL,11.26,4800
Devontae Booker,RB,LV,8.9,5300
Jakobi Meyers,WR,NE,11.75,4800
Gabriel Davis,WR,BUF,10.55,4300
Zack Moss,RB,BUF,8.29,5000
